ParticipantID,CompletionTimeConsentForm,CompletionTimeIntroduction,CompletionTimeInstruction1,CompletionTimeInstruction2,CompletionTimeInstruction3,CompletionTimeInstruction4,CompletionTimeInstruction5,CompletionTimeInstruction6,CompletionTimeInstructionsCompleted,CompletionTimeTimingInstructions,CompletionTimeAllInstructions,CompletionTimeComprehensionCheck1,CompletionTimeComprehensionCheck2,CompletionTimeComprehensionCheck3,CompletionTimeComprehensionCheck4,AttemptsLeftComprehensionCheck1,AttemptsLeftComprehensionCheck2,AttemptsLeftComprehensionCheck3,AttemptsLeftComprehensionCheck4,VisitsConsentForm,VisitsInstruction1,VisitsInstruction2,VisitsInstruction3,VisitsInstruction4,VisitsInstruction5,VisitsInstruction6
19,30.816700000047685,15.32,58.614400000095365,43.05439999985695,22.622700000047683,61.97470000004768,12.774600000143051,5.239299999952316,10.830200000047684,6.1743999998569485,570.9391000001431,25.15679999995232,14.845200000047685,6.6465,24.14160000014305,3,3,3,3,1,1,1,3,1,1,1
20,7.53129999999702,10.03539999999851,54.90979999999702,29.70969999999553,14.6305,51.18239999999851,9.2625,7.70260000000149,9.72589999999851,3.79,708.7236000000015,99.05229999999702,24.9895,17.05339999999851,18.9665,1,3,3,3,1,2,3,1,1,1,1
21,16.6805,2438.9388000000044,13.14280000000447,8.50329999999702,4.58370000000298,14.43040000000596,2.11939999999851,2.8636000000014903,1.2785,1.1993000000044705,2736.969699999996,29.52580000000447,18.3905,4.455300000004471,16.53439999999851,2,3,3,2,1,1,1,2,1,1,1
22,49.81739999997616,12.977,34.45889999997616,21.01490000003576,29.74089999997616,67.73990000003576,5.99,4.1645,48.4215,3.5535999999642374,524.876,43.605,24.19940000003576,12.386299999952316,8.795600000023843,2,3,3,3,1,1,1,1,1,1,1
23,9.56409999999404,7.5455,36.53630000001192,26.1395,9.75039999997616,64.62059999999404,11.720600000023842,8.969899999976159,8.71240000000596,5.709899999976158,433.873900000006,16.63490000000596,12.3935,5.952700000017882,12.84590000000596,3,3,3,3,1,1,1,2,1,1,1
24,12.67569999998808,6.350199999988079,33.79079999998212,19.93090000000596,8.045800000011921,29.95909999999404,4.1235,3.87459999999404,3.904399999976158,2.576700000017881,337.57229999998214,19.61029999998212,15.146600000023842,13.73179999998212,6.779700000017882,3,2,2,3,1,1,1,1,1,1,1
25,7.169599999904633,9.451699999809264,49.77429999995232,29.392300000190733,20.580700000047685,39.358400000095365,8.50339999985695,7.564899999856949,2.7504000000953672,0.877,479.3352999999523,99.30719999980928,21.953200000047683,9.025700000047683,9.440400000095368,2,2,3,3,1,1,1,1,1,1,1
26,11.585700000001118,7.719800000000745,55.91740000000037,32.83279999999888,1.9836999999992548,36.1385,3.8562999999988814,1.373,1.1670999999996274,1.0622000000011176,395.2139000000004,27.8425,13.443900000000372,4.6545,21.462,3,3,3,2,1,1,1,2,1,1,1
27,9.750399999999908,3.287100000000093,22.049200000000187,6.599399999999907,3.241300000000279,10.321100000000094,8.853699999999721,1.6115,1.0431999999997206,1.0071999999997203,440.1037000000002,23.48619999999972,12.092799999999814,6.345099999999627,22.38879999999981,3,3,3,2,1,1,1,2,1,1,1
28,30.885800000011923,16.528799999952316,62.6395,35.89110000002384,20.27440000003576,114.44010000002385,16.478,33.98609999996424,6.249299999952316,2.8251000000238418,615.6925,20.697,16.540099999964237,30.05219999998808,11.85330000001192,3,3,3,3,1,1,1,1,1,2,2
29,18.9,30.32790000009537,67.65780000019073,33.521799999952314,19.228,52.68620000004768,7.126,6.722700000047683,5.405600000143052,10.4845,549.3958000001908,18.005200000047683,16.804,17.909,14.755899999856949,3,3,3,3,1,1,1,1,1,1,1
30,14.92,15.165,39.597,24.395,7.151,53.676,9.804,4.578,1.577,2.228,483.173,31.532,28.099,7.259,14.679,3,3,3,3,1,1,1,2,1,1,1
31,78.16630000001192,9.918600000023842,62.87910000002384,78.434,11.9305,62.345700000047685,16.88689999997616,5.447,11.8775,9.857099999964236,682.7261999999881,57.87779999995232,18.442700000047683,14.60930000001192,25.43830000001192,3,3,3,3,1,1,1,1,1,1,1
32,14.258,10.46069999998808,56.81419999998808,19.51539999997616,23.66490000000596,69.13219999998807,12.38290000000596,13.547799999982118,11.2655,8.016,590.831199999988,58.34729999998212,56.76459999999404,13.9985,17.43170000001788,3,2,3,3,1,1,1,1,1,1,1
33,8.008600000023842,6.022800000011921,47.6975,28.36060000002384,12.14130000001192,42.487,9.081099999964238,8.191099999964237,7.136899999976158,2.365100000023842,429.6576999999881,20.554,17.183,15.65660000002384,13.711100000023842,3,3,3,3,1,1,1,1,1,1,1
34,13.389,7.73660000038147,62.251,34.18919999980927,18.47880000019073,53.7655,13.793200000286102,10.573300000190734,8.05060000038147,4.345799999713898,493.4460999999046,47.0975,20.396900000095368,13.056900000095368,11.213699999809265,3,3,3,3,1,1,1,1,1,1,1
35,80.39639999985695,9.672299999952315,43.47539999985695,28.479199999809264,29.998799999952315,51.446,6.809599999904632,7.912900000095368,7.917400000095367,3.0410999999046324,540.254100000143,40.73260000014305,17.896900000095368,12.087400000095368,13.32489999985695,3,2,3,3,1,1,1,1,1,1,1
36,18.41619999999925,5399.199200000001,31.830800000000743,38.1905,23.00419999999925,68.49160000000148,14.50310000000149,11.275699999999254,13.201699999999256,8.743599999997764,5951.557400000001,57.801,25.6065,15.939,38.1395,3,3,3,3,1,1,1,1,1,1,1
37,6.27629999999702,33.865100000008944,131.15759999999403,71.6165,63.631,132.3255,29.61380000001192,21.2355,54.97079999999702,33.03680000001192,1017.884799999997,45.41479999999702,69.99370000000297,16.81220000000298,32.5845,2,2,3,3,1,1,1,2,1,1,1
38,43.73119999998808,10.36,42.69930000001192,19.12880000001192,14.97830000001192,54.16360000002384,9.01540000000596,5.58209999999404,21.7145,3.381899999976158,459.4486999999881,19.6635,9.380799999982118,21.91590000000596,14.863700000017882,3,3,3,3,1,1,1,1,1,1,1
39,14.574299999999988,9.372299999999989,53.21220000000001,26.296099999999974,15.341700000000012,78.78950000000009,29.48079999999993,5.168,3.85579999999993,2.77579999999993,513.4721000000001,23.11629999999999,38.94,14.984100000000035,25.5905,3,2,3,3,1,1,1,1,1,1,1
40,103.23359999999964,12.25889999999851,47.89990000000037,23.954300000000742,15.328299999998883,88.79630000000074,16.11490000000037,5.968400000000373,12.401599999999627,2.7997000000011174,629.6183000000008,63.77090000000037,21.424699999999252,11.930199999999257,15.10039999999851,3,3,3,3,1,1,1,1,1,1,1
41,10.879899999999909,10.4405,41.31629999999981,29.039700000000185,26.041100000000093,42.434,14.626599999999629,9.708399999999909,3.1805,2.174700000000186,455.83260000000007,22.331,29.22129999999981,15.336799999999814,18.301700000000185,3,2,3,3,1,1,1,1,1,1,1
42,25.3395,15.447199999928474,95.16910000002385,49.93639999997616,34.16370000004768,47.29760000002384,9.207399999976158,6.891600000023842,11.499100000023844,71.42979999995232,731.353,66.54020000004769,31.54440000009537,13.21760000002384,26.63260000002384,3,2,3,3,1,1,1,1,1,1,1
43,49.41590000009537,15.606199999928474,96.61989999997616,64.58359999990464,49.913,173.62820000004768,32.63370000004768,18.101600000023844,23.1575,6.900699999928475,904.66,39.82789999997616,17.860200000047683,31.549,26.013600000023843,3,3,3,3,1,1,1,1,1,1,1
44,120.8415,11.938900000035762,110.16709999996424,42.66360000002384,33.7145,46.10480000001192,13.809099999964236,6.008600000023842,18.13480000001192,32.16930000001192,900.6754000000358,55.5615,50.293,14.77,22.96960000002384,3,2,3,3,1,1,1,1,1,1,1
45,82.62179999995232,26.5085,48.16370000004768,36.47579999995232,19.69329999995232,46.26909999990463,12.477200000047684,9.854900000095368,17.204,12.804100000143052,611.096100000143,31.9375,22.80909999990463,24.04370000004768,17.589200000047683,3,3,3,2,1,1,1,1,1,1,1
46,27.1455,10.22530000001192,91.09979999998212,39.7805,26.13329999998212,65.05270000001788,14.35440000000596,8.86659999999404,8.42419999998808,6.016399999976158,786.426900000006,16.3255,11.13090000000596,17.186799999982117,10.161200000017882,3,1,3,3,1,2,6,1,1,1,1
47,112.80819999998808,21.57789999997616,112.874,78.84690000003576,56.20630000001192,103.46719999998808,24.89940000003576,16.79239999997616,19.8005,4.651899999976158,1091.037300000012,130.28360000002385,53.90789999997616,59.59680000001192,62.41760000002384,2,3,3,3,1,1,1,1,1,1,1
48,1130.626700000003,3.652600000008941,33.67109999999404,9.41070000000298,30.31629999999702,25.65469999998808,8.21379999999702,3.42820000000298,1.2522999999970197,6.82620000000298,1481.831,31.72339999999106,14.14320000000298,15.84790000000596,18.92759999999404,2,3,2,3,2,1,1,1,1,1,1
49,13.96020000001788,8.2955,36.769,18.77279999998212,10.968,48.85540000000596,6.06540000000596,8.387,6.631099999994039,2.432800000011921,407.6725,25.65279999998212,23.9515,17.17640000000596,15.111800000011922,2,2,3,3,1,1,1,1,1,1,1
50,55.01839999961853,39.61389999961853,114.77369999980928,87.16480000019074,8.1275,111.02310000038148,6.6045,2.0173999996185303,1.8158999996185303,1.86,759.7775999994278,24.523800000190736,65.59430000019073,26.42039999961853,20.715,3,2,2,1,1,1,1,1,1,1,1
51,43.209,9.277,58.52839999997616,32.905900000095365,13.956399999976158,67.11560000002385,10.144699999928475,10.41810000002384,10.65039999997616,2.987600000023842,498.5421000000238,22.34,10.811699999928477,8.724200000047684,12.448,3,3,3,3,1,1,1,1,1,1,1
52,40.50180000001192,9.231399999976158,53.34260000002384,33.203800000011924,23.365700000047685,57.97530000001192,9.622,6.2453000000119205,7.779100000023842,5.771099999964237,532.9070999999642,28.85390000003576,24.72560000002384,14.95919999998808,33.53140000003576,3,2,3,3,1,1,1,1,1,1,1
53,14.3075,175.5248999999985,48.9615,19.75189999999851,15.318800000000746,63.30790000000224,9.367400000002236,4.296300000000745,9.442600000001493,4.138800000000745,634.6433000000007,31.552699999999252,43.26060000000149,14.30270000000298,14.4305,2,2,3,3,1,1,1,1,1,1,1
54,4098.669799999952,23.25429999995232,22.078200000047683,12.435200000047685,18.647,68.12990000009536,11.106299999952316,5.193400000095368,4.9853999998569485,1.6252000000476836,4495.746200000048,18.937,22.776099999904638,23.990700000047685,13.5155,3,2,3,3,1,1,1,1,1,1,1
55,81.3745,2.6922000000178814,69.28230000001192,34.96490000000596,25.96320000001788,114.84830000001192,12.66469999998808,6.165199999988079,6.282199999988079,8.213699999988078,675.8015,45.12940000000596,25.79660000002384,20.43179999998212,13.729,3,3,3,3,1,1,1,1,1,1,1
56,31.65969999999925,16.715,94.46309999999964,97.168,31.724699999999256,149.3332000000011,27.49039999999851,17.3355,21.01620000000112,6.3078000000007455,984.3005,79.16070000000111,86.99179999999889,27.8095,47.90709999999963,3,2,3,3,1,1,1,1,1,1,1
57,21.934200000047685,7.042699999809265,65.86780000019074,52.95640000009536,24.47690000009537,71.45309999990464,11.162799999952316,8.217,9.5005,5.119400000095367,576.9826999998093,35.108599999904634,16.618299999952317,13.522199999809263,17.780900000095368,3,3,3,3,1,1,1,1,1,1,1
58,79.27230000001192,16.195299999952315,55.84770000004768,35.95339999997616,20.096,69.94479999995232,10.552300000011922,6.000199999988079,11.773799999952317,1.2925,612.2708999999761,42.72180000001192,50.73310000002384,10.30330000001192,17.999,3,3,3,3,1,1,1,1,1,1,1
59,11.38909999999404,41.261,38.6505,20.46829999999702,6.88079999999702,104.79509999999404,6.72679999999702,33.16059999999404,3.258800000011921,2.252,592.967,25.79620000000298,22.027600000008945,12.59,41.82589999999106,3,3,3,3,1,1,1,1,1,1,1
