ParticipantID,PracticeGambleNumber,GambleChoice,GambleResponseTime,GambleSecondaryChoices,GambleSecondaryChoicesTimes,GambleDeadline,MissedDeadline,FullScreenExited,ReproducedTime,SubjectiveDifficulty,ResponseTimeSubjectiveDifficulty,ResponseTimeSubmitAnswersQuestionnaire
5,2,Left,2.8051000000089408,,,8,0,0,5.658,2,2.22320000000298,2.80829999999702
5,3,Left,4.709399999991059,,,10,0,0,4.803100000008941,2,3.3515,3.70329999999702
5,4,Right,3.0664000000059604,,,8,0,0,4.781399999991059,2,2.3980999999940398,3.15629999999702
5,5,Left,2.28429999999702,,,6,0,0,2.99570000000298,2,1.141300000011921,1.4771000000089407
5,6,Left,2.1369000000059604,,,10,0,0,7.05409999999404,2,1.0691000000089408,1.60620000000298
6,1,Left,3.6560999999996273,,,6,0,0,1.9823999999994413,2,2.9709000000003725,3.883200000000186
6,2,Left,3.447799999999814,,,8,0,0,3.2105,2,2.594,3.634199999999255
6,3,Right,4.317200000000186,,,10,0,0,5.266,3,3.9772000000001855,9.153400000000373
6,4,Left,4.789300000000745,,,8,0,0,3.4505,2,4.046799999999814,4.667099999999627
6,5,Left,4.632299999999813,,,6,0,0,2.4094000000003724,2,3.544600000000558,3.985
6,6,Left,1.9812999999998135,,,10,0,0,6.900299999999814,1,2.507299999999814,3.255599999999628
7,1,Left,3.899099999904633,,,6,0,0,4.0625,2,4.393399999976158,6.859
7,2,Left,6.274100000023842,,,8,0,0,1.5155,3,4.696,5.513
7,3,Left,3.310299999952316,,,10,0,0,5.849700000047684,3,2.194400000095368,3.459600000023842
7,4,Left,2.897900000095368,,,8,0,0,4.9135999999046325,2,2.053799999952316,2.8135999999046324
7,5,Left,2.397600000023842,,,6,0,0,3.304700000047684,2,1.8435,2.8898000000715256
7,6,Left,2.1710999999046328,,,10,0,0,7.011400000095367,1,1.6806999999284744,2.523199999928474
8,1,Left,2.7080999999046327,,,6,0,0,8.1005,2,5.5725,6.5455
8,2,,2.7080999999046327,,,8,1,0,5.869199999809265,4,3.934200000047684,4.701400000095368
8,3,Left,4.286699999809265,,,10,0,0,8.339400000095367,5,2.789,3.507700000047684
8,4,Left,3.432700000047684,,,8,0,0,8.730299999952317,3,1.8698999998569488,2.468199999809265
8,5,,3.432700000047684,,,6,1,0,5.515700000047684,4,1.6790999999046323,3.1485999999046324
8,6,Left,1.5964000000953675,,,10,0,0,8.4685,1,3.177899999856949,3.921799999952316
9,1,Left,1.8723000001907348,,,6,0,0,5.540200000047684,2,4.091299999952316,5.33
9,2,Left,3.623799999952317,,,8,0,0,6.154300000190735,2,4.023100000143051,5.355700000047683
9,3,Right,2.8755999999046327,,,10,0,0,8.99489999985695,3,6.801299999952317,7.8055
9,4,Left,1.897,,,8,0,0,7.452400000095367,1,2.2235999999046325,3.2084000000953674
9,5,Left,2.3642999999523164,,,6,0,0,4.8965,2,3.043200000047684,3.894799999952317
9,6,Left,1.6152999999523163,,,10,0,0,8.85260000014305,1,2.0565,3.36
10,1,Left,2.632700000017881,,,6,0,0,2.723800000011921,3,12.10390000000596,13.40359999999404
10,2,Right,4.593799999982118,,,8,0,0,4.059400000005961,4,2.397700000017881,3.46459999999404
10,3,Right,5.640900000005961,,,10,0,0,2.3592999999821185,4,2.5077999999821188,3.2080999999940394
10,4,Left,3.3462999999821186,,,8,0,0,3.7025,3,3.4487000000178814,4.33240000000596
10,5,Right,3.7385,,,6,0,0,2.4984000000059603,4,2.8199000000059606,3.5372000000178816
10,6,Left,3.2659000000059604,,,10,0,0,5.972700000017881,4,1.3149000000059603,2.0314000000059607
11,1,Left,1.9478000000044704,Left,5.41260000000149,6,0,0,3.9095,1,5.65089999999851,7.301699999995529
11,2,,1.9478000000044704,,,8,1,0,4.759300000004471,2,10.08860000000149,10.78889999999851
11,3,,1.9478000000044704,,,10,1,0,1.3777000000029802,2,2.93610000000149,3.603
11,4,Left,2.91789999999851,,,8,0,0,0.7756000000014901,1,1.9617000000029805,2.69560000000149
11,5,Left,5.4837000000029805,,,6,0,0,2.00689999999851,1,2.8102000000029803,3.5776000000014903
11,6,Left,1.5905999999940394,,,10,0,0,7.41290000000596,1,2.78189999999851,3.548699999995529
12,1,,,,,6,1,0,7.600200000001117,3,9.157,11.2595
12,2,Left,2.5629000000003725,,,8,0,0,7.408300000000745,2,1.6045,3.583
12,3,Right,4.12489999999851,,,10,0,0,8.565299999998883,2,2.4145,4.05439999999851
12,4,Left,3.2450999999996277,,,8,0,0,7.476099999999628,2,2.252199999999255,3.896400000000373
12,5,Left,5.546199999999255,,,6,0,0,8.35060000000149,2,1.3535999999996275,2.949800000000745
12,6,Left,2.5538999999985097,,,10,0,0,9.132799999998882,2,2.4167999999988825,5.833799999998883
13,1,,,,,6,1,0,2.734399999856949,4,5.972599999904633,7.6092999999523165
13,2,Right,1.9376999998092648,,,8,0,0,3.350600000143051,3,2.3849000000953677,3.767700000047684
13,3,Right,2.2695,,,10,0,0,4.923,3,2.423200000047684,5.295900000095368
13,4,Left,2.996700000047684,,,8,0,0,6.478299999952316,2,4.3047999999523165,5.227
13,5,Left,2.9338000001907347,,,6,0,0,6.0765,2,1.9345999999046328,3.239
13,6,Left,1.9955,,,10,0,0,10.543,1,1.8253999998569488,2.806299999952316
14,1,Left,3.8145,,,6,0,0,4.2661000000005584,2,9.4345,10.355900000000371
14,2,Left,2.719599999999628,,,8,0,0,3.770200000000186,2,5.409799999999814,5.908599999999628
14,3,Left,2.4072999999998137,,,10,0,0,7.292900000000372,2,2.1844000000003727,2.6077000000001864
14,4,Left,1.5212999999998138,,,8,0,0,5.260200000000186,2,2.16,2.5925999999996274
14,5,Left,1.9027999999998135,,,6,0,0,4.330700000000186,2,1.2557000000001863,1.8922000000001864
14,6,Left,1.7719000000003726,,,10,0,0,9.284,2,1.5228999999994413,2.0435999999996275
15,1,,,,,6,1,0,19.66019999999553,3,11.52469999999553,13.04969999999553
15,2,Left,4.52120000000298,,,8,0,0,1.83110000000149,2,6.51389999999851,8.10430000000447
15,3,Left,3.5151000000014903,,,10,0,0,6.14710000000149,2,3.2503000000044704,4.5476000000014905
15,4,Left,2.977,,,8,0,0,4.59670000000298,2,2.91110000000149,6.3395
15,5,Left,2.6948999999985097,,,6,0,0,3.3185,2,2.362,3.3382000000029803
15,6,Left,2.7615,,,10,0,0,6.42060000000149,2,2.82029999999702,5.47
16,1,Left,2.4094000000357627,,,6,0,0,2.9278999999761584,1,8.646899999976158,10.33269999998808
16,2,Left,2.7716000000238417,,,8,0,0,4.603700000047684,1,5.639299999952316,7.240699999988079
16,3,Right,3.361,,,10,0,0,6.442300000011921,3,6.5643000000119205,8.552100000023842
16,4,Left,2.776800000011921,,,8,0,0,6.536600000023842,2,4.011400000035763,5.869800000011921
16,5,Left,3.745600000023842,,,6,0,0,3.5811999999880797,2,5.466899999976159,6.758599999964237
16,6,Left,3.885200000047684,,,10,0,0,7.522600000023842,1,2.0425,6.328
17,1,Left,1.1460999999999768,,,6,0,0,4.892599999999977,1,4.043800000000046,4.810400000000024
17,2,Left,1.8970999999999767,,,8,0,0,5.866599999999977,1,2.1730999999999767,2.859
17,3,Left,2.393,,,10,0,0,4.543300000000047,1,1.6487000000000698,2.301
17,4,Left,1.21,,,8,0,0,6.730400000000024,1,3.1053000000000464,3.959599999999977
17,5,Left,1.5616999999999537,,,6,0,0,4.48779999999993,1,1.5288000000000466,2.141
17,6,Left,1.9778000000000464,,,10,0,0,3.784,1,1.8183000000000469,2.728099999999977
18,1,Left,4.865099999994039,,,6,0,0,5.109799999982118,2,4.4473000000119205,6.4185
18,2,Left,5.081300000011921,,,8,0,0,5.912700000017882,3,2.384699999988079,3.2647999999821185
18,3,Left,7.841599999994039,,,10,0,0,8.2425,3,3.079800000011921,4.2635
18,4,Left,4.446,,,8,0,0,4.19659999999404,3,1.6645999999940395,3.4730999999940395
18,5,Left,4.461800000011921,,,6,0,0,5.7664000000059605,3,2.145800000011921,2.991
18,6,Left,3.249699999988079,,,10,0,0,8.911,1,2.6709000000059606,4.071700000017882
19,1,,,,,6,1,0,3.0079000000953675,3,12.820899999856948,15.117599999904632
19,2,Left,3.337800000190735,,,8,0,0,2.2072999999523164,2,3.965700000047684,5.870400000095367
19,3,Left,3.756799999952317,,,10,0,0,1.1517000000476838,4,3.094700000047684,4.183400000095367
19,4,Left,2.1135999999046327,,,8,0,0,4.288600000143052,1,6.277,7.613099999904633
19,5,Left,2.1915,,,6,0,0,4.051700000047684,1,1.9736000001430511,2.853900000095368
19,6,Left,1.5222999999523164,,,10,0,0,7.8468000001907345,1,2.283700000047684,3.211899999856949
20,1,Left,4.55480000000447,,,6,0,0,3.42770000000298,3,4.19720000000298,5.4546000000014905
20,2,,4.55480000000447,,,8,1,0,3.2793000000044703,4,3.2426000000014903,3.8913000000044704
20,3,Left,6.54689999999851,,,10,0,0,7.117199999995529,3,1.7313000000044705,2.5878000000044703
20,4,Left,5.0736999999955295,,,8,0,0,6.3187000000029805,3,2.49970000000298,3.31610000000149
20,5,Left,4.53510000000149,,,6,0,0,3.7241000000014894,3,1.2985,2.0111000000014903
20,6,Left,3.18739999999851,,,10,0,0,7.265599999994039,2,2.861,3.93370000000298
21,1,Left,1.4777000000029803,,,6,0,0,5.85030000000447,2,2.88160000000149,3.584
21,2,Right,3.4540999999940394,,,8,0,0,3.36889999999851,2,1.9058999999985096,2.73779999999702
21,3,Right,2.44,,,10,0,0,5.6705,3,2.11939999999851,2.6161000000014902
21,4,Left,1.7672000000029802,,,8,0,0,6.60039999999851,2,2.21360000000149,2.758
21,5,Left,1.34,,,6,0,0,3.78970000000298,2,1.4255,2.0977000000029804
21,6,Left,1.0627000000029805,,,10,0,0,6.4035,1,1.923,2.69129999999702
22,1,Left,3.050900000035763,,,6,0,0,0.5603000000119209,2,5.619199999988079,6.284099999964237
22,2,Left,2.6441000000238417,,,8,0,0,7.336600000023842,3,2.943400000035763,3.728
22,3,Right,3.531599999964237,,,10,0,0,5.206400000035763,2,2.090799999952316,2.824899999976158
22,4,Left,1.3917000000476838,,,8,0,0,0.5304000000357628,2,2.6815,3.227100000023842
22,5,Left,4.485600000023842,,,6,0,0,5.6363000000119206,3,1.427,2.034199999988079
22,6,Left,1.5582000000476837,,,10,0,0,8.354699999988078,1,2.107800000011921,2.624
23,1,Left,2.484699999988079,,,6,0,0,4.359,2,5.9844000000059605,8.23440000000596
23,2,Left,5.238399999976158,,,8,0,0,4.825,3,2.3505,3.274300000011921
23,3,Right,3.411300000011921,,,10,0,0,7.852099999994039,4,4.066799999982119,4.943299999982119
23,4,Left,3.9141000000238417,,,8,0,0,7.907,1,2.898,5.237200000017881
23,5,Left,5.525200000017882,,,6,0,0,5.944699999988079,2,1.9725,3.0648999999761584
23,6,Left,2.2475,,,10,0,0,4.063699999988079,1,1.4474000000059604,2.0039000000059604
24,1,Left,2.752199999988079,,,6,0,0,4.660400000005961,2,5.27190000000596,5.95559999999404
24,2,Left,3.0179000000059606,,,8,0,0,3.7694000000059606,3,5.097,5.712799999982119
24,3,Right,4.743800000011921,,,10,0,0,4.09890000000596,3,2.4662000000178814,3.4712000000178813
24,4,Left,4.62169999998808,,,8,0,0,3.3232999999821184,2,1.9404000000059605,2.827800000011921
24,5,Left,4.314699999988079,,,6,0,0,1.7615999999940395,2,1.3775999999940396,2.3077999999821186
24,6,Left,3.80440000000596,,,10,0,0,5.910199999988079,1,2.498899999976158,3.0462999999821188
25,1,Left,3.365899999856949,,,6,0,0,2.839200000047684,1,4.958400000095367,6.066700000047684
25,2,Left,3.6,,,8,0,0,6.160899999856949,2,2.3525999999046325,2.9145
25,3,Left,4.094,,,10,0,0,4.834100000143051,4,2.598200000047684,3.168800000190735
25,4,Left,1.8667999999523164,,,8,0,0,4.481900000095368,1,1.456,2.048200000047684
25,5,Left,2.637299999952316,,,6,0,0,5.077700000047684,2,9.47589999985695,10.0945
25,6,Left,1.4778999998569489,,,10,0,0,4.743400000095368,1,1.3669000000953675,1.8835
26,1,Left,2.177,Left,4.647700000001118,6,0,0,3.337300000000745,3,6.1227999999988825,7.273199999999255
26,2,Left,2.006300000000745,"Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right","5.489400000000373, 6.000300000000745, 6.034700000001117, 6.067, 6.099800000000745, 6.129300000000745, 6.160400000000372, 6.202200000001118, 6.440900000000372, 6.651599999999627, 6.873800000000745, 7.274400000000372",8,0,0,5.27,4,1.788699999999255,2.333699999999255
26,3,Right,2.332800000000745,"Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right, Right","3.3414000000003727, 7.791900000000372, 8.277900000000372, 8.308599999999627, 8.353800000000746, 8.372099999999627, 8.407300000000745, 8.439699999999254, 8.473, 8.5065, 8.54, 8.573599999999628, 8.607599999999627, 8.640099999999627, 8.673300000000745, 8.709300000000745, 8.739800000000745, 8.773199999999255, 8.817699999999254, 8.848, 8.880199999999254, 8.905300000000745, 8.938900000000373, 8.970400000000373, 9.0045, 9.038400000000372, 9.067099999999627, 9.104199999999254, 9.139099999999628, 9.169400000000373, 9.204400000000373, 9.237800000000744, 9.270599999999627, 9.305, 9.337300000000745, 9.368800000000745, 9.399599999999628, 9.429599999999628, 9.471800000000744, 9.504400000000372, 9.536199999999255, 9.570599999999628, 9.605099999999627, 9.637, 9.670599999999627, 9.703199999999255, 9.734400000000372, 9.766400000000372, 9.796, 9.826400000000373, 9.869699999999256, 9.9045, 9.936699999999256, 9.9665",10,0,0,7.417400000000373,5,3.066900000000373,3.684699999999255
26,4,Left,3.724800000000745,"Left, Left, Left, Left, Left, Left, Left, Left, Left, Left","6.710599999999627, 7.213099999999628, 7.245200000001118, 7.285099999999628, 7.316200000001118, 7.348400000000373, 7.3825, 7.413400000000372, 7.449300000000745, 7.485599999999628",8,0,0,5.371199999999255,4,0.8948000000007451,1.542
26,5,Right,4.385599999999627,,,6,0,0,4.11139999999851,5,1.3426000000014902,1.839300000000745
26,6,Left,1.2223999999985098,Left,2.9103999999985097,10,0,0,8.936799999998883,5,1.5765,2.1687999999988823
27,1,Left,3.772600000000093,,,6,0,0,4.931200000000186,3,4.727,5.433
27,2,Left,2.688,,,8,0,0,3.124200000000186,2,7.444700000000187,7.942700000000186
27,3,Left,2.907600000000093,,,10,0,0,3.720100000000093,1,3.167,3.831
27,4,Left,2.4475,,,8,0,0,3.9016999999997206,1,1.820899999999907,2.5108999999999067
27,5,Left,2.129599999999628,,,6,0,0,4.011700000000186,1,2.326899999999907,2.987100000000093
27,6,Left,1.5896999999997206,,,10,0,0,7.927799999999814,1,122.1335,122.7295
28,1,Left,1.3413000000119208,,,6,0,0,4.971899999976158,1,3.994899999976158,4.743300000011921
28,2,Left,2.5166000000238418,,,8,0,0,6.284099999964237,3,1.8512999999523163,2.581299999952316
28,3,Left,3.3371000000238418,,,10,0,0,7.0643000000119205,2,1.914300000011921,2.5615
28,4,Left,3.618,,,8,0,0,8.01569999998808,1,1.875400000035763,2.350800000011921
28,5,Left,1.9783000000119209,,,6,0,0,7.902799999952316,1,1.579,1.9903000000119209
28,6,Left,1.131400000035763,,,10,0,0,8.856,1,1.3329000000357627,1.8174000000357629
29,1,Left,3.203,,,6,0,0,2.6710999999046328,1,3.876700000047684,4.539
29,2,Right,3.171,,,8,0,0,3.9740999999046327,2,4.299200000047684,5.0805
29,3,Right,4.3283999998569485,,,10,0,0,6.277299999952317,3,8.188,8.803400000095367
29,4,Left,3.957299999952317,,,8,0,0,4.269400000095367,2,2.2795,3.712899999856949
29,5,Left,5.2245,,,6,0,0,2.1145,2,1.7790999999046326,2.195099999904633
29,6,Left,3.642700000047684,,,10,0,0,5.841800000190735,1,2.180900000095368,2.635
30,1,Left,5.599,,,6,0,0,7.406,2,4.994,5.828
30,2,Left,2.244,,,8,0,0,7.831,2,3.684,4.445
30,3,Left,3.147,,,10,0,0,10.333,3,3.242,4.057
30,4,Left,2.454,,,8,0,0,8.869,2,2.721,3.43
30,5,Left,1.978,,,6,0,0,5.737,2,2.159,3.269
30,6,Left,2.317,,,10,0,0,9.309,1,3.883,4.623
31,1,Left,4.119,,,6,0,0,6.058399999976158,2,4.850700000047683,6.144700000047684
31,2,Left,4.354800000011921,,,8,0,0,3.713600000023842,2,3.261899999976158,5.8615
31,3,Right,5.331800000011921,,,10,0,0,8.13,3,4.591900000035762,6.356
31,4,Left,5.165599999964237,,,8,0,0,6.4275,2,3.926299999952316,4.866099999964237
31,5,,5.165599999964237,,,6,1,0,3.224800000011921,2,4.112900000035763,8.255
31,6,Left,1.3666999999880791,,,10,0,0,8.454300000011921,2,2.691600000023842,3.676900000035763
32,1,Left,1.1299000000059605,Left,3.852199999988079,6,0,0,5.621299999982119,2,3.75559999999404,5.5235
32,2,Left,2.0474000000059607,,,8,0,0,5.29759999999404,2,4.774,5.2565
32,3,Right,2.8465,,,10,0,0,6.495,2,1.5454000000059605,2.161400000005961
32,4,Left,2.0571999999880792,,,8,0,0,9.49509999999404,2,1.4911999999880792,2.1901999999880792
32,5,Left,2.012199999988079,,,6,0,0,2.31259999999404,2,1.8295999999940395,2.6985
32,6,Left,1.4155,,,10,0,0,8.169,2,1.325800000011921,2.142
33,1,Left,1.4843000000119209,,,6,0,0,5.567399999976158,2,7.502799999952316,8.124899999976158
33,2,Left,1.8255,,,8,0,0,6.456799999952317,2,2.6648000000119207,3.3355999999642374
33,3,Right,2.518800000011921,,,10,0,0,9.2235,2,2.6194000000357627,3.8196000000238417
33,4,Left,2.335699999988079,,,8,0,0,7.664400000035763,2,2.308300000011921,2.7916000000238417
33,5,Left,2.153699999988079,,,6,0,0,5.526199999988079,2,2.722099999964237,3.422
33,6,Left,1.067699999988079,,,10,0,0,9.895100000023842,2,2.701300000011921,3.6716999999880793
34,1,Left,2.3965,,,6,0,0,4.653400000095368,3,2.702400000095368,3.588300000190735
34,2,Left,2.256,,,8,0,0,5.509,3,1.9308000001907348,2.8064000000953677
34,3,Left,2.3250999999046327,,,10,0,0,9.239800000190735,3,1.8012999997138976,3.2311999998092653
34,4,Left,2.7040999999046327,,,8,0,0,6.736400000095367,3,1.532,2.3815999999046324
34,5,Right,1.5245999999046325,,,6,0,0,6.388,3,1.505,2.2665
34,6,Left,1.3100999999046326,,,10,0,0,8.86310000038147,3,2.3405,3.786300000190735
35,1,Left,3.605200000047684,,,6,0,0,6.746599999904633,2,5.886100000143051,7.1795
35,2,Left,3.694199999809265,,,8,0,0,7.407100000143052,3,2.6455,4.260399999856949
35,3,Right,5.541699999809265,,,10,0,0,8.829799999952316,3,3.442,5.475799999952316
35,4,Left,3.835900000095368,,,8,0,0,6.116,2,3.0585,3.9425
35,5,Left,3.3334000000953674,,,6,0,0,4.854,2,2.2773999998569487,3.1955999999046325
35,6,Left,2.121200000047684,,,10,0,0,8.869,1,1.7546999998092652,2.645199999809265
36,1,Right,1.996,"Right, Left","4.84110000000149, 5.45010000000149",6,0,0,3.64939999999851,3,7.894699999999255,8.474900000002235
36,2,Left,4.456300000000745,Left,6.645800000000745,8,0,0,3.5977000000029804,2,3.092300000000745,3.6895
36,3,Left,3.478900000002235,,,10,0,0,6.57,3,2.157300000000745,3.538900000002235
36,4,Left,3.78310000000149,,,8,0,0,8.00210000000149,2,1.674800000000745,2.094900000002235
36,5,Left,2.51710000000149,,,6,0,0,4.274800000000745,2,1.85389999999851,3.4345
36,6,Left,1.5239000000022351,,,10,0,0,8.823300000000746,2,1.6245,1.94360000000149
37,1,Left,2.662899999991059,,,6,0,0,2.541,2,5.289700000002981,6.647099999994039
37,2,Right,3.58109999999404,,,8,0,0,4.2385,4,2.1863999999910595,3.52659999999404
37,3,Left,3.974,,,10,0,0,5.49220000000298,4,6.4924000000059605,7.50740000000596
37,4,Left,3.539,,,8,0,0,5.6815,3,4.3485,5.344699999988079
37,5,,3.539,,,6,1,0,5.485,4,7.85320000000298,11.39909999999404
37,6,Left,5.43840000000596,,,10,0,0,6.156100000008941,2,8.936,9.99010000000894
38,1,Left,1.5035999999940397,,,6,0,0,2.9835999999940395,3,5.416900000005961,6.51809999999404
38,2,Left,2.1710999999940395,,,8,0,0,5.6095,4,2.1362000000178814,2.952800000011921
38,3,Right,2.6556999999880797,,,10,0,0,5.836400000005961,3,4.008299999982119,4.808799999982119
38,4,Left,2.89359999999404,,,8,0,0,4.937299999982119,3,1.7430999999940395,2.660300000011921
38,5,Left,2.557,,,6,0,0,4.470300000011921,3,1.6005,2.483300000011921
38,6,Left,2.728200000017881,,,10,0,0,5.809799999982118,1,1.444800000011921,2.311800000011921
39,1,Left,1.8795,,,6,0,0,3.152,1,8.619699999999954,9.850900000000022
39,2,Left,3.592400000000023,,,8,0,0,2.834599999999977,1,3.027400000000023,4.143
39,3,Right,1.9291999999999532,,,10,0,0,6.504,1,3.1888000000000467,4.534900000000024
39,4,Left,1.919100000000093,,,8,0,0,4.953099999999977,1,2.3595,3.596800000000046
39,5,Right,1.6674000000000233,,,6,0,0,3.5566999999999536,1,2.040599999999977,3.374400000000023
39,6,Left,1.369,,,10,0,0,6.52579999999993,1,2.347599999999977,3.27620000000007
40,1,Left,2.887400000000373,,,6,0,0,5.1155,3,6.435699999999255,7.431199999999255
40,2,Left,4.232199999999255,,,8,0,0,4.4272999999988825,4,3.329,4.207599999999627
40,3,Left,3.35339999999851,,,10,0,0,4.893799999998882,3,2.461,3.309699999999255
40,4,Left,1.6606999999992549,,,8,0,0,5.744800000000745,2,3.376599999999628,4.2075
40,5,Left,3.609400000000373,,,6,0,0,1.4530999999996277,2,1.5225,2.1592000000011176
40,6,Left,1.648300000000745,,,10,0,0,5.952599999999627,2,1.358800000000745,2.0020999999996274
41,1,Left,4.173399999999907,,,6,0,0,4.28619999999972,1,3.1918999999999067,4.265399999999907
41,2,Left,3.589600000000093,,,8,0,0,4.8243999999999065,1,2.1415,3.215599999999628
41,3,Right,3.7317999999998137,,,10,0,0,6.055800000000279,1,2.7136999999997204,3.499899999999907
41,4,Left,2.2216999999997205,,,8,0,0,6.4099000000003725,1,2.2313000000002794,3.903100000000093
41,5,Right,2.8488999999999067,,,6,0,0,3.63080000000028,1,1.895399999999907,2.488600000000093
41,6,Left,1.7698999999999068,,,10,0,0,5.876800000000279,1,1.582800000000279,2.634600000000093
42,1,Left,1.3776000000238418,,,6,0,0,6.898100000023842,1,7.925200000047684,9.09960000002384
42,2,Left,1.3956000000238418,,,8,0,0,7.876299999952316,2,2.724899999976158,4.2433000000715255
42,3,Left,2.116600000023842,,,10,0,0,6.501799999952317,3,2.7263000000715256,4.4925
42,4,Left,1.513,,,8,0,0,5.12,2,3.005899999976158,4.376399999976158
42,5,Right,1.952700000047684,,,6,0,0,3.6403000000715258,2,2.975600000023842,4.3111999999284745
42,6,Left,1.314899999976158,,,10,0,0,7.6101000000238415,1,2.426899999976158,3.496100000023842
43,1,Left,1.638100000023842,,,6,0,0,4.398,2,6.064399999976158,8.376800000071526
43,2,Left,3.135200000047684,,,8,0,0,4.562899999976159,2,6.4995,7.828600000023842
43,3,Left,3.2961999999284743,,,10,0,0,8.123899999976159,3,6.820100000023841,8.459699999928475
43,4,Left,2.207600000023842,,,8,0,0,6.832,2,3.4095,4.7295
43,5,Left,1.7131999999284744,,,6,0,0,7.247199999928474,3,2.8177999999523164,4.9945
43,6,Left,1.5489000000953674,,,10,0,0,8.878,1,2.3126999999284745,5.3285999999046325
44,1,Left,4.269600000023842,,,6,0,0,4.055299999952316,3,8.489599999964238,9.518899999976158
44,2,Right,6.195400000035763,,,8,0,0,3.0205,2,8.23880000001192,9.353700000047684
44,3,Right,6.324300000011921,,,10,0,0,10.318,4,12.9195,15.371200000047684
44,4,,6.324300000011921,,,8,1,0,7.804,4,7.115699999988079,8.017
44,5,Left,2.955600000023842,,,6,0,0,3.299699999988079,3,5.524300000011921,6.109399999976159
44,6,Left,1.8461999999880792,,,10,0,0,8.71469999998808,1,8.626600000023842,9.107699999988078
45,1,Left,5.8988999998569485,,,6,0,0,3.009699999809265,2,4.965800000190735,6.030600000143052
45,2,Left,4.164200000047684,,,8,0,0,4.732,3,2.060100000143051,3.572700000047684
45,3,Left,4.9920999999046325,,,10,0,0,3.837899999856949,4,3.384799999952316,4.3615
45,4,Left,2.648299999952316,,,8,0,0,4.846099999904633,2,2.0830999999046327,2.883
